@relation mixed_instances_1

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
2,9.5,0,0,0.000004,0,0,0,85,spamming
3,5.333333,0.000643,0,0,0,0,0,293,malware
5,5.6,0.00964,0.038167,0.00537,0,0,0,1457,phishing
2,9.5,0,0,0.000004,0,0,0,130,spamming
3,6,0.000643,0,0,0,0,0,406,malware
3,3.666667,0,0.000035,0,0,0,0,56,phishing
2,9.5,0,0,0.000004,0,0,0,273,spamming
3,6.333333,0.000643,0,0,0,0,0,329,malware
8,6.75,0,0.000035,0,0,0,0,2384,phishing
2,5.5,0,0,0.000004,0,0,0,74,spamming
3,5.333333,0.000643,0,0,0,0,0,352,malware
5,3,0,0.00045,0,0,0,0,96,phishing
2,9.5,0,0,0.000004,0,0,0,141,spamming
3,5.666667,0.000643,0,0,0,0,0,617,malware
3,8,0,0.000104,0,0,0,0,333,phishing
2,9.5,0,0,0.000004,0,0,0,79,spamming
3,6.333333,0.000643,0,0,0,0,0,558,malware
3,8,0,0.000069,0,0,0,0,335,phishing
2,9.5,0,0,0.000004,0,0,0,57,spamming
3,5.666667,0.000643,0,0,0,0,0,333,malware
3,8,0,0.000104,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,58,spamming
3,6.333333,0.000643,0,0,0,0,0,298,malware
3,8,0,0.000035,0,0,0,0,313,phishing
2,9.5,0,0,0.000004,0,0,0,155,spamming
3,6,0.000643,0,0,0,0,0,310,malware
3,8.666667,0,0.000035,0,0,0,0,375,phishing
4,3.25,0,0,0.000004,0,0,0,118,spamming
3,5.666667,0.000643,0,0,0,0,0,350,malware
3,8,0,0.000104,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,58,spamming
3,6,0.000643,0,0,0,0,0,319,malware
3,8,0,0.000069,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,293,spamming
3,9.333333,0.000643,0,0,0,0,0,333,malware
3,6.666667,0,0.000658,0.000004,0,0,0,409,phishing
2,9.5,0,0,0.000004,0,0,0,304,spamming
2,6,0.000643,0,0,0,0,0,450,malware
2,9,0,0.000035,0,0,0,0,343,phishing
2,9.5,0,0,0.000004,0,0,0,62,spamming
3,4.333333,0.000643,0,0,0,0,0,331,malware
2,6.5,0,0.000035,0,0,0,0,98,phishing
2,9.5,0,0,0.000004,0,0,0,48,spamming
3,4.333333,0.000643,0,0,0,0,0,434,malware
4,2.5,0,0.000035,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,78,spamming
3,5,0.000643,0,0,0,0,0,367,malware
2,7.5,0,0.000035,0,0,0,0,289,phishing
2,9.5,0,0,0.000004,0,0,0,58,spamming
3,7.333333,0.000643,0,0,0,0,0,299,malware
3,7,0,0.000035,0,0,0,0,113,phishing
2,9.5,0,0,0.000004,0,0,0,59,spamming
3,10.333333,0.000643,0,0,0,0,0,435,malware
3,6,0,0.000035,0,0,0,0,132,phishing
