@relation 'Reputation Site Dataset'

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
3,7.666667,0.042416,0,0,0,0,0,282,malware
2,6,0.000643,0,0,0,0,0,351,malware
2,5,0.000643,0,0,0,0,0,566,malware
3,6,0.000643,0,0,0,0,0,104,malware
2,4.5,0.000643,0,0,0,0,0,431,malware
2,3.5,0.000643,0,0,0,0,0,1547,malware
3,3.333333,0.000643,0,0,0,0,0,261,malware
2,9,0.000643,0,0,0,0,0,102,malware
3,4,0.000643,0.000866,0.000025,0,0,0,92,malware
3,7,0.000643,0,0,0,0,0,253,malware
2,6.5,0.000643,0,0,0,0,0,67,malware
2,7.5,0.001285,0,0,0,0,0,423,malware
3,6,0.030848,0.016694,0.010558,0,0,0,69,malware
2,9,0.000643,0,0,0,0,0,3519,malware
2,8.5,0.000643,0,0,0,0,0,258,malware
3,7.666667,0.000643,0,0,0,0,0,325,malware
2,6.5,0.000643,0,0,0,0,0,271,malware
2,4,0.000643,0,0,0,0,0,70,malware
3,5.666667,0.000643,0,0,0,0,0,69,malware
3,5.333333,0.007712,0,0,0,0,0,88,malware
2,9.5,0.001285,0,0,0,0,0,330,malware
2,10,0.000643,0,0,0,0,0,363,malware
4,6.25,0.001928,0,0,0,0,0,266,malware
2,6.5,0.000643,0,0,0,0,0,281,malware
3,7.666667,0.007069,0,0,0,0,0,62,malware
3,8,0.000643,0,0,0,0,0,70,malware
3,7.666667,0.000643,0,0,0,0,0,70,malware
2,10,0.000643,0,0,0,0,0,248,malware
3,3,0.000643,0,0,0,0,0,761,malware
2,4.5,0.000643,0,0,0,0,0,320,malware
2,6,0.000643,0,0,0,0,0,369,malware
3,5.333333,0.006427,0,0,0,0,0,476,malware
3,4.666667,0.000643,0,0,0,0,0,297,malware
3,7.666667,0.000643,0,0,0,0,0,149,malware
3,5.333333,0.000643,0,0,0,0,0,117,malware
5,3.2,0.000643,0,0,0,0,0,282,malware
3,5.333333,0.030848,0.016694,0.010558,0,0,0,3398,malware
2,7,0.000643,0,0,0,0,0,42,malware
2,14,0.000643,0,0,0,0,0,587,malware
4,4.25,0.001285,0.000381,0.000025,0,0,0,73,malware
3,4,0.000643,0,0,0,0,0,243,malware
2,2.5,0.000643,0,0,0,0,0,411,malware
3,3,0.000643,0,0,0,0,0,496,malware
2,7.5,0.000643,0,0,0,0,0,334,malware
3,6.333333,0.003856,0.026149,0.000004,0,0,0,375,malware
3,4.333333,0.002571,0.002009,0.002035,0,0,0,482,malware
4,5,0.001285,0,0,0,0,0,136,malware
2,11,0.000643,0,0,0,0,0,434,malware
2,9.5,0.000643,0,0,0,0,0,61,malware
3,5.666667,0.000643,0,0,0,0,0,115,malware
2,13.5,0.000643,0,0,0,0,0,268,malware
2,6.5,0.000643,0,0,0,0,0,1367,malware
2,8.5,0.000643,0,0,0,0,0,68,malware
5,4.6,0.000643,0,0,0,0,0,397,malware
3,6,0.030848,0.016694,0.010558,0,0,0,426,malware
2,6.5,0.000643,0,0,0,0,0,558,malware
4,5.25,0.000643,0,0,0,0,0,414,malware
2,9,0.000643,0,0,0,0,0,67,malware
2,6.5,0.000643,0,0,0,0,0,531,malware
2,3.5,0.000643,0,0,0,0,0,925,malware
2,7.5,0.000643,0,0,0,0,0,51,malware
2,7.5,0.000643,0,0,0,0,0,2175,malware
2,7.5,0.000643,0,0,0,0,0,72,malware
2,7.5,0.000643,0,0,0,0,0,57,malware
2,5.5,0.000643,0,0,0,0,0,421,malware
3,8,0.000643,0,0,0,0,0,327,malware
2,6,0.000643,0,0,0,0,0,84,malware
2,8,0.000643,0,0,0,0,0,293,malware
3,4.666667,0.030848,0.016694,0.010558,0,0,0,412,malware
3,7.666667,0.007069,0,0,0,0,0,92,malware
2,6.5,0.000643,0,0,0,0,0,491,malware
3,4.666667,0.000643,0,0,0,0,0,76,malware
3,5.333333,0.000643,0,0,0,0,0,535,malware
2,6,0.000643,0,0,0,0,0,558,malware
2,9,0.000643,0,0,0,0,0,394,malware
2,6.5,0.000643,0,0,0,0,0,303,malware
2,4.5,0.000643,0,0,0,0,0,275,malware
2,5.5,0.000643,0,0,0,0,0,93,malware
2,6.5,0.000643,0,0,0,0,0,70,malware
2,8.5,0.000643,0,0,0,0,0,338,malware
3,5.333333,0.000643,0,0,0,0,0,239,malware
3,6,0.000643,0,0,0,0,0,274,malware
3,5.666667,0.000643,0,0,0,0,0,379,malware
2,3.5,0.000643,0,0,0,0,0,155,malware
9,3,0.000643,0,0,0,0,0,332,malware
3,4.333333,0.000643,0,0,0,0,0,471,malware
4,5,0.000643,0,0,0,0,0,356,malware
2,3,0.000643,0,0,0,0,0,229,malware
4,4,0.001928,0,0,0,0,0,324,malware
2,12,0.000643,0,0,0,0,0,426,malware
3,6,0.000643,0,0,0,0,0,361,malware
3,7.666667,0.000643,0,0,0,0,0,334,malware
2,8,0.000643,0,0,0,0,0,407,malware
2,9,0.000643,0,0,0,0,0,251,malware
2,5,0.000643,0,0,0,0,0,419,malware
3,4.666667,0.000643,0,0,0,0,0,393,malware
3,4,0.000643,0,0,0,0,0,180,malware
3,5.333333,0.000643,0,0,0,0,0,166,malware
3,6,0.000643,0,0,0,0,0,83,malware
3,7,0.003856,0.026149,0.000004,0,0,0,313,malware
2,8.5,0.000643,0,0,0,0,0,286,malware
3,4.333333,0.000643,0,0,0,0,0,1460,malware
2,5,0.001285,0,0,0,0,0,440,malware
5,3,0.030848,0.016694,0.010558,0,0,0,111,malware
2,7.5,0.000643,0,0,0,0,0,299,malware
3,5.666667,0.030848,0.016694,0.010558,0,0,0,192,malware
2,10.5,0.000643,0,0,0,0,0,428,malware
2,9,0.000643,0,0,0,0,0,1542,malware
2,8.5,0.000643,0,0,0,0,0,60,malware
2,15.5,0.000643,0,0,0,0,0,69,malware
2,9,0.000643,0,0,0,0,0,575,malware
3,5.333333,0.001285,0.000104,0,0,0,0,431,malware
4,3.75,0.001285,0.000035,0,0,0,0,737,malware
3,10,0.003213,0,0,0,0,0,80,malware
2,6,0.000643,0,0,0,0,0,291,malware
2,7,0.000643,0,0,0,0,0,108,malware
3,3,0.000643,0,0,0,0,0,81,malware
2,3.5,0.000643,0,0,0,0,0,500,malware
2,3,0.000643,0,0,0,0,0,488,malware
